L1,L2-3,L4,L5,L6,genes
0.00021445,0.00021114,0.00026963,0.0002217,0.00026134,Chka
4.2544e-05,4.6907e-05,8.8951e-05,5.4722e-05,4.5594e-05,Thyn1
0.00022031,0.00011478,8.4592e-05,8.1586e-05,0.0001955,Gpr37
0.0001326,0.00020515,8.5446e-05,0.00013609,0.00013025,Chpf
8.6955e-05,6.0797e-05,6.7575e-05,0.00013221,0.00011592,Papola
0.00018807,0.00014628,0.00019032,0.00023546,0.00020356,Rbbp7
1.827e-05,2.9475e-05,4.2222e-05,2.9397e-05,2.5996e-05,Zcchc9
7.7761e-05,0.00011372,6.512e-05,9.6725e-05,8.3482e-05,Cib1
6.145e-05,9.5872e-05,0.000109,9.3896e-05,8.0397e-05,1700123O20Rik
5.9435e-06,7.8434e-07,1.1735e-07,3.2113e-06,6.6543e-06,Ddx23
0.00011669,0.00015096,0.00011913,0.00012095,0.00014203,Psma7
0.00011219,7.9962e-05,0.00013542,9.0023e-05,0.00015895,Ipo13
0.00010166,0.00013199,0.00010461,8.8852e-05,0.00012755,Psmb3
5.9529e-05,0.00010958,0.00010342,0.00013236,7.8638e-05,Ddx39
0.00014789,0.0001715,0.00018354,0.00014981,0.00017332,Psmc1
0.00010369,9.4615e-05,0.0002614,0.00012383,0.0001271,Qars
4.5032e-05,3.3436e-05,3.6698e-05,6.3077e-05,4.7695e-05,Myeov2
8.3219e-07,9.9342e-07,1.2741e-06,1.5144e-06,1.6118e-06,Gm13080
0.00036244,0.00036593,0.00045721,0.00040763,0.00043124,Arf4
2.9962e-05,1.8626e-05,2.6533e-05,2.8549e-05,3.83e-05,Cuedc1
6.835e-06,8.2176e-06,8.1119e-06,7.5267e-06,8.7739e-06,Gm6055
8.9683e-07,9.3674e-07,1.6243e-06,1.1129e-06,1.0124e-06,Gm11953
1.7025e-07,2.5118e-07,2.6574e-07,1.2303e-07,2.4811e-07,Gm11964
7.7268e-05,0.00012036,5.3824e-05,7.8585e-05,9.9015e-05,Rnf34
8.7438e-05,0.00014947,9.5067e-05,8.5281e-05,0.00010172,3110002H16Rik
0.00064305,0.0010359,0.00084536,0.00073875,0.00051871,Igfbp2
3.4173e-07,4.0523e-07,2.2153e-07,1.641e-07,4.9716e-07,Gm4950
0.0004049,0.00037963,0.00046282,0.00050558,0.00046571,Camk2g
2.7845e-05,4.7577e-05,4.4859e-05,2.2776e-05,4.7509e-05,Gm13111
0.00075199,0.00075993,0.00092127,0.00084784,0.00080985,Tpi1
6.4113e-05,7.3729e-05,5.0061e-05,0.00011356,6.431e-05,Lin52
0.0015148,0.0020391,0.0017699,0.0016584,0.0013447,Btbd17
0.00012867,0.00018438,0.00016374,0.00019663,0.00013158,Pex13
