gene_id,gene_symbol,typeofgene,mito,length,intron_count,exon_count,fpkm
353007,3.8-1.2,NA,0,456,0,0,0
353008,3.8-1.3,NA,0,1166,0,0,0
353009,3.8-1.4,NA,0,1173,0,0,0
353010,3.8-1.5,NA,0,1181,0,0,0
389180,5-HT3C2,NA,0,7686,0,0,0
1,A1BG,mRNA,0,1766,0,0,0
503538,A1BG-AS1,ncRNA,0,2130,0,0,0
29974,A1CF,mRNA,0,9529,0,0,0
2,A2M,mRNA,0,4996,0,0,0
144571,A2M-AS1,ncRNA,0,2187,0,0,0
144568,A2ML1,mRNA,0,6462,1,0,0
3,A2MP1,NA,0,1201,0,0,0
127550,A3GALT2,mRNA,0,1023,0,0,0
53947,A4GALT,mRNA,0,3375,0,0,0
51146,A4GNT,mRNA,0,1771,0,0,0
100506677,AA06,NA,0,632,0,0,0
8086,AAAS,mRNA,0,2238,0,0,0
65985,AACS,mRNA,0,3392,0,0,0
729522,AACSP1,NA,0,2175,0,0,0
13,AADAC,mRNA,0,1654,0,0,0
344752,AADACL2,mRNA,0,2034,0,0,0
101928142,AADACL2-AS1,ncRNA,0,772,0,0,0
126767,AADACL3,mRNA,0,4049,0,0,0
343066,AADACL4,mRNA,0,2313,0,0,0
201651,AADACP1,NA,0,1289,0,0,0
51166,AADAT,mRNA,0,3035,0,0,0
195827,AAED1,mRNA,0,1231,0,0,0
79719,AAGAB,mRNA,0,3849,0,0,0
22848,AAK1,mRNA,0,21265,0,79,9.98
28971,AAMDC,mRNA,0,712,0,0,0
14,AAMP,mRNA,0,1835,0,0,0
15,AANAT,mRNA,0,3287,0,0,0
25980,AAR2,mRNA,0,2921,0,0,0
441376,AARD,mRNA,0,1899,0,0,0
16,AARS,mRNA,0,3484,0,0,0
57505,AARS2,mRNA,0,5401,0,0,0
80755,AARSD1,mRNA,0,1364,0,0,0
132949,AASDH,mRNA,0,6677,0,0,0
60496,AASDHPPT,mRNA,0,2861,0,0,0
10157,AASS,mRNA,0,6433,0,0,0
284837,AATBC,ncRNA,0,4598,0,0,0
26574,AATF,mRNA,0,2141,2,0,0
9625,AATK,mRNA,0,8141,0,0,0
388428,AATK-AS1,ncRNA,0,1577,0,0,0
18,ABAT,mRNA,0,5981,429,0,0
19,ABCA1,mRNA,0,11018,0,0,0
10349,ABCA10,mRNA,0,6331,0,0,0
79963,ABCA11P,NA,0,1895,0,0,0
26154,ABCA12,mRNA,0,10082,0,0,0
154664,ABCA13,mRNA,0,24593,0,0,0
650655,ABCA17P,NA,0,4188,0,0,0
20,ABCA2,mRNA,0,8412,0,149,47.57
21,ABCA3,mRNA,0,6623,0,0,0
24,ABCA4,mRNA,0,7326,0,0,0
23461,ABCA5,mRNA,0,9380,1,0,0
23460,ABCA6,mRNA,0,6482,0,0,0
10347,ABCA7,mRNA,0,7550,0,0,0
10351,ABCA8,mRNA,0,6997,0,0,0
10350,ABCA9,mRNA,0,6869,0,0,0
104355297,ABCA9-AS1,ncRNA,0,523,0,0,0
5243,ABCB1,mRNA,0,4716,0,0,0
23456,ABCB10,mRNA,0,5111,0,0,0
56476,ABCB10P1,NA,0,3778,0,0,0
728248,ABCB10P3,NA,0,2167,0,0,0
100132289,ABCB10P4,NA,0,2167,0,0,0
