,gene_symbol,ensembl_gene_id,entrezgene
1,Cpne7,ENSMUSG00000034796,102278
2,Nxph3,ENSMUSG00000046719,104079
3,Rprml,ENSMUSG00000046215,104582
4,Pld4,ENSMUSG00000052160,104759
5,Pld4,ENSMUSG00000116258,104759
6,Grm2,ENSMUSG00000023192,108068
7,Egln3,ENSMUSG00000035105,112407
8,Adra1b,ENSMUSG00000050541,11548
9,Adra1a,ENSMUSG00000045875,11549
10,Nr2f2,ENSMUSG00000030551,11819
11,Neurod6,ENSMUSG00000037984,11922
12,Cbln2,ENSMUSG00000024647,12405
13,Cdh5,ENSMUSG00000031871,12562
14,Cdh6,ENSMUSG00000039385,12563
15,Cdh9,ENSMUSG00000025370,12565
16,Cox6a2,ENSMUSG00000030785,12862
17,Drd1,ENSMUSG00000021478,13488
18,Etv1,ENSMUSG00000004151,14009
19,Fmo1,ENSMUSG00000040181,14261
20,Gpx3,ENSMUSG00000018339,14778
21,Htr1f,ENSMUSG00000050783,15557
22,Igfbp5,ENSMUSG00000026185,16011
23,Lhx6,ENSMUSG00000026890,16874
24,Masp1,ENSMUSG00000022887,17174
25,Nfia,ENSMUSG00000028565,18027
26,Nptx1,ENSMUSG00000025582,18164
27,Oprm1,ENSMUSG00000000766,18390
28,Pcsk5,ENSMUSG00000024713,18552
29,Pthlh,ENSMUSG00000048776,19227
30,Ptprk,ENSMUSG00000019889,19272
31,Ptpro,ENSMUSG00000030223,19277
32,S100a10,ENSMUSG00000041959,20194
33,S100a6,ENSMUSG00000001025,20200
34,Sema3c,ENSMUSG00000028780,20348
35,Sema5b,ENSMUSG00000052133,20357
36,Unc13c,ENSMUSG00000062151,208898
37,Bhlhe40,ENSMUSG00000030103,20893
38,Unc5d,ENSMUSG00000063626,210801
39,Lzts1,ENSMUSG00000036306,211134
40,Satb2,ENSMUSG00000038331,212712
41,Coro6,ENSMUSG00000020836,216961
42,Stxbp6,ENSMUSG00000046314,217517
43,Tpbg,ENSMUSG00000035274,21983
44,Krt73,ENSMUSG00000063661,223915
45,Wnt5a,ENSMUSG00000021994,22418
46,Rorb,ENSMUSG00000036192,225998
47,Itpka,ENSMUSG00000027296,228550
48,Serinc2,ENSMUSG00000023232,230779
49,Parm1,ENSMUSG00000034981,231440
50,Rxfp3,ENSMUSG00000060735,239336
51,Slc26a4,ENSMUSG00000020651,23985
52,Sgcd,ENSMUSG00000020354,24052
53,Grin3a,ENSMUSG00000039579,242443
54,St6galnac5,ENSMUSG00000039037,26938
55,Nkain3,ENSMUSG00000055761,269513
56,Lppr1,ENSMUSG00000063446,272031
57,Clic4,ENSMUSG00000037242,29876
58,Exph5,ENSMUSG00000034584,320051
59,Sp8,ENSMUSG00000048562,320145
60,Vwc2l,ENSMUSG00000045648,320460
61,Thsd7a,ENSMUSG00000032625,330267
62,Nell1,ENSMUSG00000055409,338352
63,Ust,ENSMUSG00000047712,338362
64,Atp2b4,ENSMUSG00000026463,381290
65,Ppapdc1a,ENSMUSG00000070366,381925
66,Atp2a3,ENSMUSG00000020788,53313
67,Pdlim1,ENSMUSG00000055044,54132
68,Iqgap2,ENSMUSG00000021676,544963
69,Fezf2,ENSMUSG00000021743,54713
70,Grasp,ENSMUSG00000000531,56149
71,Extl1,ENSMUSG00000028838,56219
72,Pvrl3,ENSMUSG00000022656,58998
73,Gucy1a3,ENSMUSG00000033910,60596
74,Tmem100,ENSMUSG00000069763,67888
75,Nacc2,ENSMUSG00000026932,67991
76,Ppp1r14a,ENSMUSG00000037166,68458
77,Rasl11b,ENSMUSG00000049907,68939
78,Chst8,ENSMUSG00000060402,68947
79,Chn2,ENSMUSG00000004633,69993
80,Aifm3,ENSMUSG00000022763,72168
81,Kcnmb2,ENSMUSG00000037610,72413
82,Lypd1,ENSMUSG00000026344,72585
83,Kif2c,ENSMUSG00000028678,73804
84,Cpne4,ENSMUSG00000032564,74020
85,Col25a1,ENSMUSG00000058897,77018
86,Kcnip2,ENSMUSG00000025221,80906
87,AW112010,ENSMUSG00000075010,107350
88,Tcrb,NA,21577
