target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
SOD1,ENSG00000142168,1.0,1.0,0.0,0.0,0.0,0.0,0.3218081685366032,0.3191731418573969,superoxide dismutase 1
TARDBP,ENSG00000120948,1.0,1.0,0.0,0.0,0.0,0.0,0.3216452917532716,0.0,TAR DNA binding protein
SETX,ENSG00000107290,1.0,1.0,0.0,0.0,0.0,0.0,0.15090057986255595,0.0,senataxin
UBQLN2,ENSG00000188021,1.0,1.0,0.0,0.0,0.0,0.009365753400000001,0.27682235974202657,0.0,ubiquilin 2
DCTN1,ENSG00000204843,1.0,1.0,0.0,0.0,0.0,0.0,0.0931940633663019,0.3191731418573969,dynactin subunit 1
FUS,ENSG00000089280,1.0,1.0,0.0,0.0,0.0,0.0,0.3219820475075257,0.3191731418573969,FUS RNA binding protein
SPG11,ENSG00000104133,1.0,1.0,0.0,0.0,0.0,0.0,0.06306692957163473,0.3191731418573969,"SPG11 vesicle trafficking associated, spatacsin"
ALS2,ENSG00000003393,1.0,1.0,0.0,0.0,0.0,0.0,0.07529251840836759,0.1802,alsin Rho guanine nucleotide exchange factor ALS2
SIGMAR1,ENSG00000147955,1.0,1.0,0.0,0.7500000000000001,0.0,0.0,0.09414696688580261,0.0,sigma non-opioid intracellular receptor 1
VCP,ENSG00000165280,1.0,1.0,0.0,0.0,0.0,0.0,0.23712288323197062,0.3191731418573969,valosin containing protein
PFN1,ENSG00000108518,1.0,1.0,0.0,0.0,0.0,0.0,0.18416373940430458,0.0,profilin 1
OPTN,ENSG00000123240,1.0,1.0,0.0,0.0,0.0,0.0,0.28026717243507476,0.0,optineurin
FIG4,ENSG00000112367,1.0,1.0,0.0,0.0,0.0,0.0,0.07893026165411782,0.0,FIG4 phosphoinositide 5-phosphatase
CHMP2B,ENSG00000083937,1.0,1.0,0.0,0.0,0.0,0.0,0.12748896868176332,0.0,charged multivesicular body protein 2B
HNRNPA1,ENSG00000135486,1.0,1.0,0.0,0.0,0.0,0.0,0.08507862254801268,0.0,heterogeneous nuclear ribonucleoprotein A1
TUBA4A,ENSG00000127824,1.0,1.0,0.0,0.0,0.0,0.0,0.07966669872891292,0.0,tubulin alpha 4a
