target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
IGHMBP2,ENSG00000132740,1.0,1.0,0.0,0.0,0.0,0.0,0.14945944565059022,0.3231297932497424,immunoglobulin mu DNA binding protein 2
EGR2,ENSG00000122877,1.0,1.0,0.0,0.0,0.0,0.0,0.04520150257809566,0.3252097483087331,early growth response 2
SIGMAR1,ENSG00000147955,1.0,1.0,0.0,0.7500000000000001,0.0,0.0,0.09475213074162082,0.2,sigma non-opioid intracellular receptor 1
PMP22,ENSG00000109099,1.0,1.0,0.0,0.0,0.0,0.0,0.2641192544405254,0.32699678003697863,peripheral myelin protein 22
SOD1,ENSG00000142168,1.0,1.0,0.0,0.0,0.0,0.0,0.3218081685366032,0.32325693653643967,superoxide dismutase 1
MPZ,ENSG00000158887,1.0,1.0,0.0,0.0,0.0,0.0,0.11988774291597676,0.32694381143960227,myelin protein zero
TARDBP,ENSG00000120948,1.0,1.0,0.0,0.0,0.0,0.0,0.3216452917532716,0.2,TAR DNA binding protein
FIG4,ENSG00000112367,1.0,1.0,0.0,0.0,0.0,0.0,0.0988644001860129,0.3268258748509881,FIG4 phosphoinositide 5-phosphatase
GDAP1,ENSG00000104381,1.0,1.0,0.0,0.0,0.0,0.0,0.05774008788879321,0.3269360304310035,ganglioside induced differentiation associated protein 1
OPA1,ENSG00000198836,1.0,1.0,0.0,0.0,0.0,0.0,0.10650085487528345,0.29664522777777774,OPA1 mitochondrial dynamin like GTPase
NEFL,ENSG00000277586,1.0,1.0,0.0,0.0,0.0,0.0,0.1847199692817841,0.28190624999999997,neurofilament light
LITAF,ENSG00000189067,1.0,1.0,0.0,0.0,0.0,0.0,0.17567757068572762,0.3241823726851694,lipopolysaccharide induced TNF factor
HSPB1,ENSG00000106211,1.0,1.0,0.0,0.0,0.0,0.0,0.07640639833973684,0.0,heat shock protein family B (small) member 1
MFN2,ENSG00000116688,1.0,1.0,0.0,0.0,0.0,0.0,0.05314166693198693,0.0,mitofusin 2
VCP,ENSG00000165280,1.0,1.0,0.0,0.0,0.0,0.0,0.2371280144308176,0.3225476237484231,valosin containing protein
SETX,ENSG00000107290,1.0,1.0,0.0,0.0,0.0,0.0,0.15132157213877936,0.0,senataxin
ATP7A,ENSG00000165240,1.0,1.0,0.0,0.0,0.0,0.0,0.04944626177878559,0.3092987266732726,ATPase copper transporting alpha
GARS,ENSG00000106105,1.0,1.0,0.0,0.0,0.0,0.0,0.08725673192808647,0.32695499943623285,glycyl-tRNA synthetase
MME,ENSG00000196549,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,membrane metalloendopeptidase
MEGF10,ENSG00000145794,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,multiple EGF like domains 10
TRPV4,ENSG00000111199,1.0,1.0,0.0,0.0,0.0,0.0,0.06614597820129817,0.28318722222222226,transient receptor potential cation channel subfamily V member 4
PRX,ENSG00000105227,1.0,1.0,0.0,0.0,0.0,0.0,0.04179513681027967,0.3268156374257654,periaxin
UBQLN2,ENSG00000188021,1.0,1.0,0.0,0.0,0.0,0.0,0.2768640560434026,0.0,ubiquilin 2
DCTN1,ENSG00000204843,1.0,1.0,0.0,0.0,0.0,0.0,0.09662204231643261,0.32192768885207923,dynactin subunit 1
RAB7A,ENSG00000075785,1.0,1.0,0.0,0.0,0.0,0.0,0.23510833333333334,0.0,"RAB7A, member RAS oncogene family"
INF2,ENSG00000203485,1.0,1.0,0.0,0.0,0.0,0.0,0.03596666666666667,0.0,"inverted formin, FH2 and WH2 domain containing"
GJB1,ENSG00000169562,1.0,1.0,0.0,0.0,0.0,0.0,0.10620144895100388,0.32699678003697863,gap junction protein beta 1
DYNC1H1,ENSG00000197102,1.0,1.0,0.0,0.0,0.0,0.0,0.061197939364084665,0.3261605636181464,dynein cytoplasmic 1 heavy chain 1
PRPS1,ENSG00000147224,1.0,1.0,0.0,0.0,0.0,0.0,0.09418888888888889,0.19388000000000002,phosphoribosyl pyrophosphate synthetase 1
KARS,ENSG00000065427,1.0,1.0,0.0,0.0,0.0,0.0,0.014400000000000001,0.0,lysyl-tRNA synthetase
BSCL2,ENSG00000168000,1.0,1.0,0.0,0.0,0.0,0.0,0.08292203282126738,0.0,"BSCL2 lipid droplet biogenesis associated, seipin"
HSPB8,ENSG00000152137,1.0,1.0,0.0,0.0,0.0,0.0,0.059789491268934604,0.0,heat shock protein family B (small) member 8
CTDP1,ENSG00000060069,1.0,1.0,0.0,0.0,0.0,0.0,0.03149444444444444,0.0,CTD phosphatase subunit 1
FUS,ENSG00000089280,1.0,1.0,0.0,0.0,0.0,0.0,0.3219820475075257,0.3221435033586191,FUS RNA binding protein
SPG11,ENSG00000104133,1.0,1.0,0.0,0.0,0.0,0.0,0.06831846067855214,0.3256388438484544,"SPG11 vesicle trafficking associated, spatacsin"
MTMR2,ENSG00000087053,1.0,1.0,0.0,0.0,0.0,0.0,0.05827368698826771,0.3241234304408894,myotubularin related protein 2
DNM2,ENSG00000079805,1.0,1.0,0.0,0.0,0.0,0.0,0.08223655555555556,0.2794511333333334,dynamin 2
